Type,Function,Digit,Time(ns)
randomdigit,ryu,1,51.800000
randomdigit,ryu,2,53.700000
randomdigit,ryu,3,53.500000
randomdigit,ryu,4,52.700000
randomdigit,ryu,5,48.600000
randomdigit,ryu,6,48.300000
randomdigit,ryu,7,46.700000
randomdigit,ryu,8,46.200000
randomdigit,ryu,9,43.400000
randomdigit,ryu,10,44.400000
randomdigit,ryu,11,41.600000
randomdigit,ryu,12,39.600000
randomdigit,ryu,13,35.900000
randomdigit,ryu,14,34.800000
randomdigit,ryu,15,33.800000
randomdigit,ryu,16,32.800000
randomdigit,ryu,17,32.400000
randomdigit,doubleconv,1,57.100000
randomdigit,doubleconv,2,66.600000
randomdigit,doubleconv,3,69.900000
randomdigit,doubleconv,4,77.700000
randomdigit,doubleconv,5,77.500000
randomdigit,doubleconv,6,81.200000
randomdigit,doubleconv,7,82.300000
randomdigit,doubleconv,8,85.500000
randomdigit,doubleconv,9,84.000000
randomdigit,doubleconv,10,86.100000
randomdigit,doubleconv,11,84.600000
randomdigit,doubleconv,12,92.800000
randomdigit,doubleconv,13,89.800000
randomdigit,doubleconv,14,98.700000
randomdigit,doubleconv,15,97.600000
randomdigit,doubleconv,16,99.100000
randomdigit,doubleconv,17,103.600000
randomdigit,fmt,1,37.500000
randomdigit,fmt,2,38.000000
randomdigit,fmt,3,38.600000
randomdigit,fmt,4,38.400000
randomdigit,fmt,5,38.400000
randomdigit,fmt,6,37.400000
randomdigit,fmt,7,37.700000
randomdigit,fmt,8,39.800000
randomdigit,fmt,9,44.600000
randomdigit,fmt,10,44.100000
randomdigit,fmt,11,43.600000
randomdigit,fmt,12,41.300000
randomdigit,fmt,13,41.500000
randomdigit,fmt,14,41.500000
randomdigit,fmt,15,41.600000
randomdigit,fmt,16,42.100000
randomdigit,fmt,17,46.000000
randomdigit,fpconv,1,86.200000
randomdigit,fpconv,2,94.200000
randomdigit,fpconv,3,104.500000
randomdigit,fpconv,4,113.600000
randomdigit,fpconv,5,115.900000
randomdigit,fpconv,6,119.300000
randomdigit,fpconv,7,120.700000
randomdigit,fpconv,8,123.800000
randomdigit,fpconv,9,121.800000
randomdigit,fpconv,10,122.900000
randomdigit,fpconv,11,123.700000
randomdigit,fpconv,12,125.200000
randomdigit,fpconv,13,126.400000
randomdigit,fpconv,14,127.700000
randomdigit,fpconv,15,128.900000
randomdigit,fpconv,16,132.800000
randomdigit,fpconv,17,135.800000
randomdigit,grisu2,1,81.900000
randomdigit,grisu2,2,91.800000
randomdigit,grisu2,3,92.300000
randomdigit,grisu2,4,93.100000
randomdigit,grisu2,5,94.600000
randomdigit,grisu2,6,96.700000
randomdigit,grisu2,7,98.700000
randomdigit,grisu2,8,100.000000
randomdigit,grisu2,9,99.800000
randomdigit,grisu2,10,101.400000
randomdigit,grisu2,11,102.000000
randomdigit,grisu2,12,104.600000
randomdigit,grisu2,13,107.900000
randomdigit,grisu2,14,107.800000
randomdigit,grisu2,15,112.200000
randomdigit,grisu2,16,114.100000
randomdigit,grisu2,17,119.500000
randomdigit,milo,1,47.400000
randomdigit,milo,2,52.200000
randomdigit,milo,3,53.200000
randomdigit,milo,4,55.300000
randomdigit,milo,5,61.300000
randomdigit,milo,6,63.700000
randomdigit,milo,7,62.800000
randomdigit,milo,8,62.700000
randomdigit,milo,9,63.200000
randomdigit,milo,10,64.000000
randomdigit,milo,11,65.600000
randomdigit,milo,12,66.700000
randomdigit,milo,13,68.700000
randomdigit,milo,14,70.700000
randomdigit,milo,15,74.000000
randomdigit,milo,16,77.800000
randomdigit,milo,17,80.400000
randomdigit,null,1,1.200000
randomdigit,null,2,1.200000
randomdigit,null,3,1.200000
randomdigit,null,4,1.200000
randomdigit,null,5,1.200000
randomdigit,null,6,1.200000
randomdigit,null,7,1.200000
randomdigit,null,8,1.200000
randomdigit,null,9,1.200000
randomdigit,null,10,1.200000
randomdigit,null,11,1.200000
randomdigit,null,12,1.200000
randomdigit,null,13,1.200000
randomdigit,null,14,1.200000
randomdigit,null,15,1.200000
randomdigit,null,16,1.200000
randomdigit,null,17,1.200000
randomdigit,ostringstream,1,1131.200000
randomdigit,ostringstream,2,1159.700000
randomdigit,ostringstream,3,1246.500000
randomdigit,ostringstream,4,1175.200000
randomdigit,ostringstream,5,1173.700000
randomdigit,ostringstream,6,1176.500000
randomdigit,ostringstream,7,1176.900000
randomdigit,ostringstream,8,1193.700000
randomdigit,ostringstream,9,1170.300000
randomdigit,ostringstream,10,1163.200000
randomdigit,ostringstream,11,1178.800000
randomdigit,ostringstream,12,1183.800000
randomdigit,ostringstream,13,1247.400000
randomdigit,ostringstream,14,1203.600000
randomdigit,ostringstream,15,1212.200000
randomdigit,ostringstream,16,1198.500000
randomdigit,ostringstream,17,1200.300000
randomdigit,ostrstream,1,991.600000
randomdigit,ostrstream,2,995.100000
randomdigit,ostrstream,3,1013.700000
randomdigit,ostrstream,4,1022.400000
randomdigit,ostrstream,5,1038.900000
randomdigit,ostrstream,6,1036.600000
randomdigit,ostrstream,7,1039.600000
randomdigit,ostrstream,8,1067.700000
randomdigit,ostrstream,9,1040.600000
randomdigit,ostrstream,10,1032.600000
randomdigit,ostrstream,11,1054.100000
randomdigit,ostrstream,12,1072.800000
randomdigit,ostrstream,13,1081.600000
randomdigit,ostrstream,14,1126.800000
randomdigit,ostrstream,15,1065.700000
randomdigit,ostrstream,16,1071.900000
randomdigit,ostrstream,17,1073.000000
randomdigit,sprintf,1,844.900000
randomdigit,sprintf,2,844.500000
randomdigit,sprintf,3,869.000000
randomdigit,sprintf,4,869.300000
randomdigit,sprintf,5,882.000000
randomdigit,sprintf,6,890.600000
randomdigit,sprintf,7,903.100000
randomdigit,sprintf,8,906.600000
randomdigit,sprintf,9,886.100000
randomdigit,sprintf,10,872.100000
randomdigit,sprintf,11,894.300000
randomdigit,sprintf,12,895.800000
randomdigit,sprintf,13,908.800000
randomdigit,sprintf,14,903.100000
randomdigit,sprintf,15,907.700000
randomdigit,sprintf,16,914.900000
randomdigit,sprintf,17,898.700000
